Column1,id,title,description,cpu,gpu,ram,motherboard,storage,price
0,1,High End 4K Gaming PC - Intel,"Dieser PC verwendet eine erstklassige Grafikkarte und nur hochwertige Komponenten. Es ermöglicht anspruchsvolle AAA-Spiele in 4K Grafik zu geniessen. Obwohl es für Spiele optimiert ist, kann es vielseitig für verschiedene Anforderungen wie Videobearbeitung oder Streaming benutzt werden. ",Intel Core i7-12700KF,EVGA RTX 3080 Ti FTW3 Ultra Gaming,Corsair Vengeance 2 x 16GB DDR5-5600 CL36,Asus ROG Strix Z690-F Gaming WiFi,Crucial P5 Plus 2 TB,2513
1,2,High End 4K Gaming PC - AMD,"Dieser PC zeigt die beste Technologie, die AMD zu bieten hat. Er hat die beste AMD-Prozessor und Grafikkarte. Kombiniert mit 32GB Ram und schneller SSD ist dieser PC nicht nur für Gaming, sondern auch für alle anderen Anwendungen geeignet. ",AMD Ryzen 9 5900X,PowerColor RX 6900 XT Red Devil Ultimate,G.Skill Ripjaws V  2 x 16GB  DDR4-3600 CL16,Gigabyte X570S AERO G,Seagate FireCuda 520 2 TB,2176
2,3,High End Flug Simulator - Intel,"Dieser PC verwendet High-End-Komponenten, um das Beste aus anspruchsvollen Simulatoren herauszuholen. Ich kombiniere eine erstklassige Intel i9-CPU mit dem Z690-Chipsatz, um eine Übertaktung und maximale Leistung zu ermöglichen. Es verwendet 32 GB DDR5-RAM und eine Hochgeschwindigkeits-PCIe 4.0-Haupt-SSD. Dieser PC wird sich auch bei anspruchsvollen Aufgaben wie der Videobearbeitung und einer Vielzahl anderer Aktivitäten auszeichnen",Intel Core i9-12900KF,MSI RTX 3080 Ti Gaming X TRIO,Corsair Vengeance  2 x 16GB  DDR5-5600 CL36,Asus ROG Strix Z690-F Gaming WiFi,Seagate FireCuda 520 2 TB,2608
3,4,High End Flug Simulator - AMD,"Dieser PC verwendet High-End-Komponenten, um das Beste aus anspruchsvollen Simulatoren herauszuholen. Ich habe den AMD Ryzen 7 5800X3D ausgewählt, der derzeit die leistungsstärkste CPU für Flug Simulatoren ist. Es wird 32 GB DDR4-RAM und eine PCIe 4.0 M.2 SSD verwendet.",AMD Ryzen 7 5800X3D,MSI RTX 3080 Ti Gaming X TRIO,G.Skill Ripjaws V  2 x 16GB  DDR4-3600 CL16,Gigabyte X570S AERO G,Seagate FireCuda 520 2 TB,2325
4,5,High End Videobearbeitungs- und  Arbeits-PC,"Dieser PC verwendet die neuesten Komponenten, um die bestmögliche Leistung in Anwendungen wie Adobe Premiere Pro, After Effects und DaVinci Resolve zu liefern. Dank der schnellen PCI-4.0 M.2 SSD verarbeitet er problemlos grosse Dateien mit hoher Bitrate und rendert Filmmaterial unverzüglich mit leistungsstarken Prozessor und Grafikkarte.  ",Intel Core i9-12900K,Asus RTX 3080 12GB LHR TUF Gaming OC,G.Skill Ripjaws V  4 x 16GB  DDR4-3200 CL16,ASRock Z690 Extreme,Seagate FireCuda 520 2 TB,2465
5,6,Mid Range Videobearbeitungs- und  Arbeits-PC,"Dieser PC verwendet die neuesten Komponenten, um eine hervorragende Videobearbeitungs-Workstation zu liefern. Er ist für gängige Video und Fotobearbeitungssoftware optimiert. ",Intel Core i7-12700,Gigabyte RTX 3060 GV-N3060Eagle OC12GD,"Corsair Vengeance LPX 2 x 8GB, DDR4-3200",ASRock Z690 Extreme,Crucial P5 Plus 1 TB,1414
6,7,Mid Range 2K Gaming PC - AMD,Dieser PC findet das Gleichgewicht zwischen Leistung und Preis. Ich habe mich für eine AMD Ryzen 5 CPU und 16GB Ram entschieden um die Kosten niedrig zu halten. Kombiniert mit einer RTX 3070 Grafikkarte ist es möglich die anspruchsvollsten Spiele in 2K zu spielen. ,AMD Ryzen 5 5600,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,G.Skill Ripjaws V  2 x 8GB  DDR4-3600 ,Asus TUF Gaming B550-Plus,Silicon Power A60 1 TB,1180
7,8,Mid Range 2K Gaming PC - Intel,Dieser PC findet das Gleichgewicht zwischen Leistung und Preis. Ich mich für eine Intel Core i5 der neuesten Generation mit 16GB Ram und einer RTX 3070 Grafikkarte entschieden um Kosten zu sparen und viel Leistung für Gaming zu bringen. Mit dieser PC ist möglich die anspruchsvollsten Spiele in 2K zu spielen. ,Intel Core i5-12400,PNY RTX 3070 XLR8 Gaming REVEL EPIC-X RGB,"Corsair Vengeance LPX 2 x 8GB, DDR4-3200",MSI PRO B660M-A DDR4,Silicon Power A60 1 TB,1165
8,9,Einstiegsklasse Gaming PC - AMD,"Dieser PC verwendet die preiswerte Ryzen5 5600 CPU von AMD kombiniert mit 16GB Ram und eine Preiswerte AMD RX 6500 XT Grafikkarte. Damit ist möglich alle Spiele in HD Qualität zu geniessen. Für ganz anspruchsvolle Spiele muss die Grafikeinstellungen reduziert werden. Im Ganzen habe ich hochwertige Komponenten ausgewählt, damit der PC eine hohe Lebensdauer hat und ohne Probleme funktioniert.",AMD Ryzen 5 5600,Sapphire RX 6500 XT PULSE,"Corsair Vengeance LPX 2 x 8GB, DDR4-3200",MSI B550M-A Pro,Silicon Power P34A60 512 GB,584
9,10,Einstiegsklasse Gaming PC - Intel,"This PC uses Intel's great value but powerful 4-core, i3 12th generation CPU to deliver great gaming performance without breaking the bank. It's aimed at esports and less demanding titles at 1080p but will play AAA games and more demanding titles at reduced settings. PCIe 4.0 capability ensures the recommended 6500XT is performing optimally, giving a good entry-level 1080p graphics solution. We also present a range of good value GPU upgrades if you want to boost performance a little. We've rounded the build out with great value parts for RAM, storage and power supply to ensure you get a PC that will run well and stand the test of time.",Intel Core i3-12100,Sapphire RX 6500 XT PULSE,"Corsair Vengeance LPX 2 x 8GB, DDR4-3200",Gigabyte B660M DS3H DDR4,Silicon Power P34A60 512 GB,577
