,id,title,description,cpu,gpu,ram,motherboard,storage,price
0,1,Haushaltsbüro und Produktivitäts-PC,"Dieser PC ist so konzipiert, dass er eine hervorragende Leistung für Aufgaben wie E-Mail, Surfen und Office-Anwendungen bietet. Er verfügt über einen leistungsfähigen Prozessor mit integrierter Grafik, viel Arbeitsspeicher für Multitasking und eine SSD für schnelle Leistung. Sie können ihn mit den vorgestellten Upgrade-Optionen an Ihre Bedürfnisse anpassen.",Intel Core i3-10100,Integrated graphics,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI B560M Pro,Silicon Power P34A60 512 GB,$343
1,2,Hochwertiger Flugsimulator-PC - Intel,"Dieser PC verwendet High-End-Komponenten, um das Beste aus anspruchsvollen Simulatoren herauszuholen. Wir kombinieren eine erstklassige Intel i9 CPU mit dem Z690 Chipsatz, um Übertaktung und maximale Leistung zu ermöglichen. Es werden 32 GB DDR5-RAM und eine Hochgeschwindigkeits-PCIe-4.0-Haupt-SSD verwendet. Die Grafikleistung wird von den neuesten High-End-GPUs von Nvidia bereitgestellt, wobei die RX 6900XT als Option erhältlich ist, wenn Sie dies bevorzugen. Wir unterstützen diese Schlüsselkomponenten mit erstklassigen Motherboards, Gehäusen und Netzteilen, damit Sie sicher sein können, dass Sie das Beste aus Flight Sim 2020, den neuesten AAA-Titeln und anderen ähnlichen Titeln herausholen können. Dieser PC wird auch bei anspruchsvollen Aufgaben wie Videobearbeitung und einer Vielzahl anderer Aktivitäten glänzen",Intel Core i9-12900KF,MSI RTX 3080 Ti Gaming X TRIO,Corsair Vengeance 32 GB DDR5-5600 CL36,Asus ROG Strix Z690-F Gaming WiFi,Seagate FireCuda 520 2 TB,"$2,608"
2,3,Hochwertiger 4K-Gaming-PC - Intel,"Dieser PC verwendet eine erstklassige Grafikkarte und hochwertige Komponenten, um ein wirklich herausragendes Gaming-System zu schaffen. Er ermöglicht Ihnen die beste Grafik, die derzeit bei anspruchsvollen AAA-Spielen möglich ist, und spielt auch einfachere Titel mit hohen Bildraten. Auch Streaming ist mit Leichtigkeit möglich. Obwohl er für Spiele optimiert ist, ist er vielseitig einsetzbar und bewältigt auch anspruchsvolle Aufgaben wie die Videobearbeitung mit Leichtigkeit. Dieser PC bietet die bestmögliche Leistung und stellt dennoch sicher, dass kein Geld für unnötige Overkill-Teile verschwendet wird.",Intel Core i7-12700KF,EVGA RTX 3080 Ti FTW3 Ultra Gaming,Corsair Vengeance 32 GB DDR5-5600 CL36,Asus ROG Strix Z690-F Gaming WiFi,Crucial P5 Plus 2 TB,"$2,513"
3,4,High-End-Videobearbeitungs-Workstation PC,"Dieser PC verwendet die neuesten Komponenten, um die bestmögliche Leistung in Anwendungen wie Adobe Premiere Pro, After Effects und DaVinci Resolve zu erzielen. Dank des Hochleistungsspeichers kann er problemlos großes Quellmaterial mit hoher Bitrate verarbeiten und dank der ausgewählten leistungsstarken CPU und GPU das Material in hohem Tempo rendern. Wir haben dafür gesorgt, dass die Kühlung erstklassig ist, damit alles stabil und zuverlässig bleibt. Wenn Sie ein 4K-Arbeitspferd brauchen, ist dies das Richtige für Sie.",Intel Core i9-12900K,Asus RTX 3080 12GB LHR TUF Gaming OC,G.Skill Ripjaws V 64 GB DDR4-3200 CL16,ASRock Z690 Extreme,Seagate FireCuda 520 2 TB,"$2,465"
4,5,Hochwertiger Flugsimulator-PC - AMD,"Dieser PC verwendet High-End-Komponenten, um das Beste aus anspruchsvollen Simulatoren herauszuholen. Wir haben uns für den AMD Ryzen 7 5800X3D entschieden, die derzeit leistungsstärkste CPU für den Flugsimulator 2020, und bieten die Option eines 5900X oder 5950X, wenn Sie bei anderen Aufgaben 12 oder 16 Kerne für maximale Leistung benötigen. Es werden 32 GB geschwindigkeitsoptimierter DDR4-RAM und eine Hochgeschwindigkeits-PCIe-4.0-Haupt-SSD verwendet. Die Grafikleistung wird von den neuesten High-End-GPUs von Nvidia bereitgestellt, wobei die RX 6900XT als Option erhältlich ist, wenn Sie dies bevorzugen. Wir unterstützen diese Schlüsselkomponenten mit erstklassigen Motherboards, Gehäusen und Netzteilen, damit Sie sicher sein können, dass Sie das Beste aus Flight Sim 2020, den neuesten AAA-Titeln und anderen ähnlichen Titeln herausholen können. Dank des 96 MB großen Level-3-Vcache wird dieser PC auch in anderen Spielen brillieren.",AMD Ryzen 7 5800X3D,MSI RTX 3080 Ti Gaming X TRIO,G.Skill Ripjaws V 32 GB DDR4-3600 CL16,Gigabyte X570S AERO G,Seagate FireCuda 520 2 TB,"$2,325"
5,6,Hochwertiger 4K Gaming PC - AMD,"Dieser PC präsentiert die beste Technologie, die AMD zu bieten hat, um Ihnen einen außergewöhnlichen Gaming-PC zu bauen. Wir haben die besten Komponenten der aktuellen Generation ausgewählt, um einen PC zu liefern, der vielseitig ist und die anspruchsvollsten Spiele und Anwendungen bewältigen kann. Wenn Sie auf der Suche nach einem PC sind, mit dem Sie streamen, Ihr Filmmaterial bearbeiten, hochwertige Inhalte liefern und alle aktuellen Titel spielen können, dann ist dies der richtige PC für Sie! Mit den von uns definierten Optionen können Sie die Spezifikation an Ihre speziellen Bedürfnisse anpassen.",AMD Ryzen 9 5900X,PowerColor RX 6900 XT Red Devil Ultimate,G.Skill Ripjaws V 32 GB DDR4-3600 CL16,Gigabyte X570S AERO G,Seagate FireCuda 520 2 TB,"$2,176"
6,7,Hochwertiger 1440p Gaming-PC - AMD,"Dieser PC verwendet ausschließlich hochwertige Komponenten, um ein herausragendes 1440p-Gaming-Erlebnis zu bieten. Er nutzt den fantastischen 12-Kern-Prozessor 5900X, um reichlich CPU-Leistung für Spiele, Streaming und vieles mehr zu bieten, und GPUs, die auf beste Leistung bei 1440p-Auflösung ausgerichtet sind. Es gibt eine Reihe von AMDs besten CPUs im Angebot, wenn Sie Frameraten bevorzugen (5800X3D) oder andere anspruchsvolle Produktivitätsarbeiten am PC erledigen müssen (5950X). Es ist darauf ausgerichtet, AAA-Titel mit höchsten Grafikeinstellungen auszuführen und wettbewerbsfähige Online-Spiele mit sehr hohen Bildraten selbst bei dieser anspruchsvollen Auflösung zu spielen. Dennoch haben wir darauf geachtet, dass Sie nur dort Geld ausgeben, wo Sie einen Nutzen davon haben, und wir haben Aufrüstungsoptionen bereitgestellt, mit denen Sie Ihren perfekten PC individuell gestalten können.",AMD Ryzen 9 5900X,Gigabyte RTX 3070 Ti Gaming OC,Corsair Vengeance LPX 32 GB DDR4-3600 CL16,Asus TUF Gaming X570-Pro WiFi,Crucial P5 Plus 2 TB,"$1,894"
7,8,Hochwertiger 1440p Gaming-PC - Intel,"Dieser PC verwendet ausschließlich hochwertige Komponenten, um ein herausragendes 1440p-Gaming-Erlebnis zu bieten. Er ist darauf ausgelegt, AAA-Titel mit höchsten Grafikeinstellungen auszuführen und wettbewerbsfähige Online-Spiele mit sehr hohen Bildraten selbst bei dieser anspruchsvollen Auflösung zu spielen. Dennoch haben wir darauf geachtet, dass Sie nur dort Geld ausgeben, wo Sie einen Nutzen davon haben, und wir haben Aufrüstungsoptionen bereitgestellt, mit denen Sie Ihren perfekten PC individuell gestalten können.",Intel Core i7-12700KF,Gigabyte RTX 3070 Ti Gaming OC,Corsair Vengeance LPX 32 GB DDR4-3600 CL16,ASRock Z690 Extreme WiFi 6E,Crucial P5 Plus 2 TB,"$1,881"
8,9,Mittelklasse 4K Gaming PC - Intel,"Dieser PC bietet ein ausgewogenes Verhältnis zwischen Leistung und Wert, um den perfekten Sweet Spot zu finden. Sie erhalten die gesamte Leistung, einige nette Funktionen und das Aussehen, ohne zu viel Geld auszugeben. Wir haben einer Hochleistungs-Grafikkarte den Vorzug gegeben, um das Beste aus der Grafik der neuesten 4K-Spiele herauszuholen, und sie mit einer starken CPU gepaart. Dieser PC ist ein fantastischer Allrounder, der gleichermaßen gut zum Spielen und Arbeiten geeignet ist.",Intel Core i5-12600KF,Gigabyte RTX 3080 10GB LHR Gaming OC Rev 2.0,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,ASRock Z690 Extreme WiFi 6E,PNY XLR8 CS03040 1 TB,"$1,689"
9,10,Mittelklasse Flugsimulator PC - Intel,"Dieser PC liefert eine fantastische Leistung im Microsoft Flight Simulator 2020, basierend auf unseren Tests und der Bewertung der aktuellen Komponenten. Er nutzt den leistungsstarken i7-12700K, optimierten Arbeitsspeicher und die allerbesten GPUs, um eine hervorragende Leistung bei 1440p oder 1440p Ultrawide zu liefern. Er ist auch zu guter VR-Leistung fähig. Für das letzte Quäntchen an zusätzlicher Leistung können Sie die CPU aufrüsten, aber wie angegeben trifft dieser PC den absoluten Sweet Spot in diesem Titel.",Intel Core i7-12700KF,Gigabyte RTX 3070 Ti Gaming OC,Team T-Create Expert 32 GB DDR4-3600 CL18,ASRock Z690 Extreme,Silicon Power P34A80 1 TB,"$1,685"
