,id,title,description,cpu,gpu,ram,motherboard,storage,price,cpu_id,gpu_id,ram_id,motherboard_id,disk_storage_id
0,1,Haushaltsbuero und Produktivitaets-PC,"Dieser PC ist so konzipiert, dass er eine hervorragende Leistung fuer Aufgaben wie E-Mail, Surfen und Office-Anwendungen bietet. Er verfuegt ueber einen leistungsfaehigen Prozessor mit integrierter Grafik, viel Arbeitsspeicher fuer Multitasking und eine SSD fuer schnelle Leistung. Sie koennen ihn mit den vorgestellten Upgrade-Optionen an Ihre Beduerfnisse anpassen.",Intel Core i3-10100,Integrated graphics,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI B560M Pro,Silicon Power P34A60 512 GB,343,1,1,1,1,1
1,2,Hochwertiger Flugsimulator-PC - Intel,"Dieser PC verwendet High-End-Komponenten, um das Beste aus anspruchsvollen Simulatoren herauszuholen. Wir kombinieren eine erstklassige Intel i9 CPU mit dem Z690 Chipsatz, um Übertaktung und maximale Leistung zu ermoeglichen. Es werden 32 GB DDR5-RAM und eine Hochgeschwindigkeits-PCIe-4.0-Haupt-SSD verwendet. Die Grafikleistung wird von den neuesten High-End-GPUs von Nvidia bereitgestellt, wobei die RX 6900XT als Option erhaeltlich ist, wenn Sie dies bevorzugen. Wir unterstuetzen diese Schluesselkomponenten mit erstklassigen Motherboards, Gehaeusen und Netzteilen, damit Sie sicher sein koennen, dass Sie das Beste aus Flight Sim 2020, den neuesten AAA-Titeln und anderen aehnlichen Titeln herausholen koennen. Dieser PC wird auch bei anspruchsvollen Aufgaben wie Videobearbeitung und einer Vielzahl anderer Aktivitaeten glaenzen",Intel Core i9-12900KF,MSI RTX 3080 Ti Gaming X TRIO,Corsair Vengeance 32 GB DDR5-5600 CL36,Asus ROG Strix Z690-F Gaming WiFi,Seagate FireCuda 520 2 TB,2608,2,2,2,2,2
2,3,Hochwertiger 4K-Gaming-PC - Intel,"Dieser PC verwendet eine erstklassige Grafikkarte und hochwertige Komponenten, um ein wirklich herausragendes Gaming-System zu schaffen. Er ermoeglicht Ihnen die beste Grafik, die derzeit bei anspruchsvollen AAA-Spielen moeglich ist, und spielt auch einfachere Titel mit hohen Bildraten. Auch Streaming ist mit Leichtigkeit moeglich. Obwohl er fuer Spiele optimiert ist, ist er vielseitig einsetzbar und bewaeltigt auch anspruchsvolle Aufgaben wie die Videobearbeitung mit Leichtigkeit. Dieser PC bietet die bestmoegliche Leistung und stellt dennoch sicher, dass kein Geld fuer unnoetige Overkill-Teile verschwendet wird.",Intel Core i7-12700KF,EVGA RTX 3080 Ti FTW3 Ultra Gaming,Corsair Vengeance 32 GB DDR5-5600 CL36,Asus ROG Strix Z690-F Gaming WiFi,Crucial P5 Plus 2 TB,2513,3,3,3,3,3
3,4,High-End-Videobearbeitungs-Workstation PC,"Dieser PC verwendet die neuesten Komponenten, um die bestmoegliche Leistung in Anwendungen wie Adobe Premiere Pro, After Effects und DaVinci Resolve zu erzielen. Dank des Hochleistungsspeichers kann er problemlos grosses Quellmaterial mit hoher Bitrate verarbeiten und dank der ausgewaehlten leistungsstarken CPU und GPU das Material in hohem Tempo rendern. Wir haben dafuer gesorgt, dass die Kuehlung erstklassig ist, damit alles stabil und zuverlaessig bleibt. Wenn Sie ein 4K-Arbeitspferd brauchen, ist dies das Richtige fuer Sie.",Intel Core i9-12900K,Asus RTX 3080 12GB LHR TUF Gaming OC,G.Skill Ripjaws V 64 GB DDR4-3200 CL16,ASRock Z690 Extreme,Seagate FireCuda 520 2 TB,2465,4,4,4,4,4
4,5,Hochwertiger Flugsimulator-PC - AMD,"Dieser PC verwendet High-End-Komponenten, um das Beste aus anspruchsvollen Simulatoren herauszuholen. Wir haben uns fuer den AMD Ryzen 7 5800X3D entschieden, die derzeit leistungsstaerkste CPU fuer den Flugsimulator 2020, und bieten die Option eines 5900X oder 5950X, wenn Sie bei anderen Aufgaben 12 oder 16 Kerne fuer maximale Leistung benoetigen. Es werden 32 GB geschwindigkeitsoptimierter DDR4-RAM und eine Hochgeschwindigkeits-PCIe-4.0-Haupt-SSD verwendet. Die Grafikleistung wird von den neuesten High-End-GPUs von Nvidia bereitgestellt, wobei die RX 6900XT als Option erhaeltlich ist, wenn Sie dies bevorzugen. Wir unterstuetzen diese Schluesselkomponenten mit erstklassigen Motherboards, Gehaeusen und Netzteilen, damit Sie sicher sein koennen, dass Sie das Beste aus Flight Sim 2020, den neuesten AAA-Titeln und anderen aehnlichen Titeln herausholen koennen. Dank des 96 MB grossen Level-3-Vcache wird dieser PC auch in anderen Spielen brillieren.",AMD Ryzen 7 5800X3D,MSI RTX 3080 Ti Gaming X TRIO,G.Skill Ripjaws V 32 GB DDR4-3600 CL16,Gigabyte X570S AERO G,Seagate FireCuda 520 2 TB,2325,5,5,5,5,5
5,6,Hochwertiger 4K Gaming PC - AMD,"Dieser PC praesentiert die beste Technologie, die AMD zu bieten hat, um Ihnen einen aussergewoehnlichen Gaming-PC zu bauen. Wir haben die besten Komponenten der aktuellen Generation ausgewaehlt, um einen PC zu liefern, der vielseitig ist und die anspruchsvollsten Spiele und Anwendungen bewaeltigen kann. Wenn Sie auf der Suche nach einem PC sind, mit dem Sie streamen, Ihr Filmmaterial bearbeiten, hochwertige Inhalte liefern und alle aktuellen Titel spielen koennen, dann ist dies der richtige PC fuer Sie! Mit den von uns definierten Optionen koennen Sie die Spezifikation an Ihre speziellen Beduerfnisse anpassen.",AMD Ryzen 9 5900X,PowerColor RX 6900 XT Red Devil Ultimate,G.Skill Ripjaws V 32 GB DDR4-3600 CL16,Gigabyte X570S AERO G,Seagate FireCuda 520 2 TB,2176,6,6,6,6,6
6,7,Hochwertiger 1440p Gaming-PC - AMD,"Dieser PC verwendet ausschliesslich hochwertige Komponenten, um ein herausragendes 1440p-Gaming-Erlebnis zu bieten. Er nutzt den fantastischen 12-Kern-Prozessor 5900X, um reichlich CPU-Leistung fuer Spiele, Streaming und vieles mehr zu bieten, und GPUs, die auf beste Leistung bei 1440p-Aufloesung ausgerichtet sind. Es gibt eine Reihe von AMDs besten CPUs im Angebot, wenn Sie Frameraten bevorzugen (5800X3D) oder andere anspruchsvolle Produktivitaetsarbeiten am PC erledigen muessen (5950X). Es ist darauf ausgerichtet, AAA-Titel mit hoechsten Grafikeinstellungen auszufuehren und wettbewerbsfaehige Online-Spiele mit sehr hohen Bildraten selbst bei dieser anspruchsvollen Aufloesung zu spielen. Dennoch haben wir darauf geachtet, dass Sie nur dort Geld ausgeben, wo Sie einen Nutzen davon haben, und wir haben Aufruestungsoptionen bereitgestellt, mit denen Sie Ihren perfekten PC individuell gestalten koennen.",AMD Ryzen 9 5900X,Gigabyte RTX 3070 Ti Gaming OC,Corsair Vengeance LPX 32 GB DDR4-3600 CL16,Asus TUF Gaming X570-Pro WiFi,Crucial P5 Plus 2 TB,1894,7,7,7,7,7
7,8,Hochwertiger 1440p Gaming-PC - Intel,"Dieser PC verwendet ausschliesslich hochwertige Komponenten, um ein herausragendes 1440p-Gaming-Erlebnis zu bieten. Er ist darauf ausgelegt, AAA-Titel mit hoechsten Grafikeinstellungen auszufuehren und wettbewerbsfaehige Online-Spiele mit sehr hohen Bildraten selbst bei dieser anspruchsvollen Aufloesung zu spielen. Dennoch haben wir darauf geachtet, dass Sie nur dort Geld ausgeben, wo Sie einen Nutzen davon haben, und wir haben Aufruestungsoptionen bereitgestellt, mit denen Sie Ihren perfekten PC individuell gestalten koennen.",Intel Core i7-12700KF,Gigabyte RTX 3070 Ti Gaming OC,Corsair Vengeance LPX 32 GB DDR4-3600 CL16,ASRock Z690 Extreme WiFi 6E,Crucial P5 Plus 2 TB,1881,8,8,8,8,8
8,9,Mittelklasse 4K Gaming PC - Intel,"Dieser PC bietet ein ausgewogenes Verhaeltnis zwischen Leistung und Wert, um den perfekten Sweet Spot zu finden. Sie erhalten die gesamte Leistung, einige nette Funktionen und das Aussehen, ohne zu viel Geld auszugeben. Wir haben einer Hochleistungs-Grafikkarte den Vorzug gegeben, um das Beste aus der Grafik der neuesten 4K-Spiele herauszuholen, und sie mit einer starken CPU gepaart. Dieser PC ist ein fantastischer Allrounder, der gleichermassen gut zum Spielen und Arbeiten geeignet ist.",Intel Core i5-12600KF,Gigabyte RTX 3080 10GB LHR Gaming OC Rev 2.0,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,ASRock Z690 Extreme WiFi 6E,PNY XLR8 CS03040 1 TB,1689,9,9,9,9,9
9,10,Mittelklasse Flugsimulator PC - Intel,"Dieser PC liefert eine fantastische Leistung im Microsoft Flight Simulator 2020, basierend auf unseren Tests und der Bewertung der aktuellen Komponenten. Er nutzt den leistungsstarken i7-12700K, optimierten Arbeitsspeicher und die allerbesten GPUs, um eine hervorragende Leistung bei 1440p oder 1440p Ultrawide zu liefern. Er ist auch zu guter VR-Leistung faehig. Fuer das letzte Quaentchen an zusaetzlicher Leistung koennen Sie die CPU aufruesten, aber wie angegeben trifft dieser PC den absoluten Sweet Spot in diesem Titel.",Intel Core i7-12700KF,Gigabyte RTX 3070 Ti Gaming OC,Team T-Create Expert 32 GB DDR4-3600 CL18,ASRock Z690 Extreme,Silicon Power P34A80 1 TB,1685,10,10,10,10,10
