,id,title,description,cpu,gpu,ram,motherboard,storage,price,cpu_id,gpu_id,ram_id,motherboard_id,disk_storage_id
0,1,Budget Office and Productivity PC,"This PC is designed to provide excellent performance for tasks like email, browsing and Office suite applications. It uses a capable processor with inbuilt graphics, plenty of RAM for multitasking, and an SSD for snappy performance. You can adjust it to your needs with the presented upgrade options.",Intel Core i3-10100,Integrated graphics,OLOy MD4U083216BJDA 16 GB DDR4-3200 CL16,MSI B560M Pro,Silicon Power P34A60 512 GB,343,1,1,1,1,1
1,2,High End Flight Simulator PC - Intel,"This PC uses high end components to get the very best out of demanding simulators. We pair a top tier Intel i9 CPU with the Z690 Chipset, to allow overclocking and maximum performance. It uses 32GB of DDR5 RAM and a high speed PCIe 4.0 main SSD. Graphics power is delivered by the latest high end Nvidia GPUs, though the RX 6900XT is available as an option if you prefer. We back these key components up with top tier motherboards, case and power supply so you can be sure you're getting the very best out of Flight Sim 2020, the latest AAA titles, and other similar titles. This PC will also excel in demanding tasks like video editing and a host of other activities",Intel Core i9-12900KF,MSI RTX 3080 Ti Gaming X TRIO,Corsair Vengeance 32 GB DDR5-5600 CL36,Asus ROG Strix Z690-F Gaming WiFi,Seagate FireCuda 520 2 TB,2608,2,2,2,2,2
2,3,High End 4K Gaming PC - Intel,"This PC uses a top tier Graphics card and high quality components throughout to deliver a truly outstanding gaming build. It allows you to experience the best graphics currently possible on demanding AAA games and will play simpler titles at high frame rates. It will also stream with ease. Whilst it's optimised for gaming, it's versatile and will happily tackle demanding workloads such as video editing. This PC represents the best possible performance but still ensures that money isn't wasted on unnecessary overkill parts.",Intel Core i7-12700KF,EVGA RTX 3080 Ti FTW3 Ultra Gaming,Corsair Vengeance 32 GB DDR5-5600 CL36,Asus ROG Strix Z690-F Gaming WiFi,Crucial P5 Plus 2 TB,2513,3,3,3,3,3
3,4,High End Video Editing Workstation PC,"This PC uses the latest components to deliver the best possible performance in applications like Adobe Premiere Pro, After Effects, and DaVinci Resolve. It will handle large high bit rate source material with ease thanks to high-performance storage and render footage at pace due to the powerful CPU and GPU selected. We've ensured that cooling is top-notch to keep everything stable and reliable. If you need a 4K workhorse, this is it.",Intel Core i9-12900K,Asus RTX 3080 12GB LHR TUF Gaming OC,G.Skill Ripjaws V 64 GB DDR4-3200 CL16,ASRock Z690 Extreme,Seagate FireCuda 520 2 TB,2465,4,4,4,4,4
4,5,High End Flight Simulator PC - AMD,"This PC uses high end components to get the very best out of demanding simulators. We've selected the AMD Ryzen 7 5800X3D which is currently the top performing CPU for Flight Simulator 2020, and included the option of either a 5900X or 5950X if you need 12 or 16 cores maximum performance in other tasks. It uses 32GB of speed optimised DDR4 RAM and a high speed PCIe 4.0 main SSD. Graphics power is delivered by the latest high end Nvidia GPUs, though the RX 6900XT is available as an option if you prefer. We back these key components up with top tier motherboards, case and power supply so you can be sure you're getting the very best out of Flight Sim 2020, the latest AAA titles, and other similar titles. This PC will also excel in other games thanks to the 96MB of Level 3 'Vcache'.",AMD Ryzen 7 5800X3D,MSI RTX 3080 Ti Gaming X TRIO,G.Skill Ripjaws V 32 GB DDR4-3600 CL16,Gigabyte X570S AERO G,Seagate FireCuda 520 2 TB,2325,5,5,5,5,5
5,6,High End 4K Gaming PC - AMD,"This PC showcases the best technology AMD have to offer, to build you an exceptional Gaming PC. We've selected the best current generation parts, to deliver a PC that's versatile and can handle the most demanding games and applications. If you're looking for a PC that can stream, edit your footage, delivery high quality content as well as excelling in all current titles, this is it! You can adjust the specification to your particular needs using the options we've defined.",AMD Ryzen 9 5900X,PowerColor RX 6900 XT Red Devil Ultimate,G.Skill Ripjaws V 32 GB DDR4-3600 CL16,Gigabyte X570S AERO G,Seagate FireCuda 520 2 TB,2176,6,6,6,6,6
6,7,High End 1440p Gaming PC - AMD,"This PC uses the best quality parts throughout to deliver an outstanding 1440p gaming experience. It uses the awesome 12 core 5900X to provide ample CPU power for gaming, streaming and much besides, and GPUs focussed on best performance at 1440p resolution. There's a range of AMD's best CPUs on offer if you prefer frame rates (5800X3D) or need to do other demanding productivity work on the PC (5950X). It's aimed at running AAA titles at highest graphical settings, and playing competitive online games with very high frame rates even at this demanding resolution. But we've still taken care to only spend money where you get the benefit, and provided upgrade options that let you customise your perfect PC.",AMD Ryzen 9 5900X,Gigabyte RTX 3070 Ti Gaming OC,Corsair Vengeance LPX 32 GB DDR4-3600 CL16,Asus TUF Gaming X570-Pro WiFi,Crucial P5 Plus 2 TB,1894,7,7,7,7,7
7,8,High End 1440p Gaming PC - Intel,"This PC uses the best quality parts throughout to deliver an outstanding 1440p gaming experience. It's aimed at running AAA titles at highest graphical settings, and playing competitive online games with very high frame rates even at this demanding resolution. But we've still taken care to only spend money where you get the benefit, and provided upgrade options that let you customise your perfect PC.",Intel Core i7-12700KF,Gigabyte RTX 3070 Ti Gaming OC,Corsair Vengeance LPX 32 GB DDR4-3600 CL16,ASRock Z690 Extreme WiFi 6E,Crucial P5 Plus 2 TB,1881,8,8,8,8,8
8,9,Mid Range 4K Gaming PC - Intel,"This PC balances performance and value to find that perfect sweet spot. You get all the performance, some nice features and looks, without overspending. We've prioritised a high performance graphics card to get the best out of the visuals of the latest 4K Games and paired it with a strong supporting CPU. This PC is a fantastic all rounder that will game and work equally well.",Intel Core i5-12600KF,Gigabyte RTX 3080 10GB LHR Gaming OC Rev 2.0,G.Skill Ripjaws V 16 GB DDR4-3600 CL16,ASRock Z690 Extreme WiFi 6E,PNY XLR8 CS03040 1 TB,1689,9,9,9,9,9
9,10,Mid Range Flight Simulator PC - Intel,"This PC delivers fantastic performance in Microsoft Flight Simulator 2020 based on our testing and evaluation of current components. It uses the high performance i7-12700K, optimised RAM, and the very best GPUs to deliver outstanding performance at 1440p or 1440p Ultrawide. It is also capable of good VR performance. You can choose to upgrade the CPU for those last ounces of additional capability, but as specified this PC hits the absolute sweet spot in this title.",Intel Core i7-12700KF,Gigabyte RTX 3070 Ti Gaming OC,Team T-Create Expert 32 GB DDR4-3600 CL18,ASRock Z690 Extreme,Silicon Power P34A80 1 TB,1685,10,10,10,10,10
